name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3
54,positive,2.390909090909091,72.72727272727273,0.0,9.090909090909092,18.181818181818183,72.72727272727273,72.72727272727273,0.0,0.0,0.0,0.0,0.0,72.72727272727273,18.181818181818183,61.53846153846154,61.53846153846154,0.0,0,1,0,0
55,negative,7.845454545454547,0.0,18.181818181818183,27.27272727272727,54.54545454545454,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
56,negative,8.52727272727273,9.090909090909092,0.0,9.090909090909092,81.81818181818183,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,0,0,0,0
57,negative,7.754545454545454,18.181818181818183,0.0,0.0,81.81818181818183,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,9.090909090909092,18.181818181818183,9.090909090909092,30.76923076923077,30.76923076923077,0.0,1,1,0,1
58,negative,7.154545454545455,18.181818181818183,9.090909090909092,18.181818181818183,54.54545454545454,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,15.384615384615385,15.384615384615385,0.0,0,0,1,0
59,negative,7.218181818181819,27.27272727272727,0.0,0.0,72.72727272727273,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,9.090909090909092,27.27272727272727,9.090909090909092,38.46153846153847,38.46153846153847,0.0,1,1,0,1
6,positive,4.154545454545455,54.54545454545454,0.0,9.090909090909092,36.36363636363637,54.54545454545454,54.54545454545454,0.0,0.0,0.0,0.0,0.0,54.54545454545454,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
60,negative,6.6090909090909085,9.090909090909092,18.181818181818183,36.36363636363637,36.36363636363637,27.27272727272727,36.36363636363637,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
61,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
62,negative,8.881818181818181,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,0,1,0
63,negative,9.672727272727274,0.0,0.0,9.090909090909092,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
64,negative,6.672727272727273,27.27272727272727,0.0,18.181818181818183,54.54545454545454,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,7.6923076923076925,7.6923076923076925,0,1,0,0
65,positive,1.5454545454545454,81.81818181818183,0.0,9.090909090909092,9.090909090909092,81.81818181818183,90.9090909090909,0.0,0.0,0.0,0.0,0.0,81.81818181818183,18.181818181818183,15.384615384615385,15.384615384615385,0.0,0,2,0,0
66,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
67,negative,6.4363636363636365,27.27272727272727,0.0,18.181818181818183,54.54545454545454,27.27272727272727,36.36363636363637,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,23.076923076923077,23.076923076923077,0.0,0,3,0,0
68,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
69,negative,6.8090909090909095,27.27272727272727,0.0,9.090909090909092,63.63636363636363,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
7,negative,9.063636363636364,0.0,9.090909090909092,0.0,90.9090909090909,9.090909090909092,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
70,negative,9.818181818181818,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0,0,0,0
71,negative,6.827272727272728,27.27272727272727,0.0,9.090909090909092,63.63636363636363,27.27272727272727,27.27272727272727,0.0,0.0,0.0,0.0,0.0,27.27272727272727,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
72,positive,1.5363636363636362,81.81818181818183,0.0,9.090909090909092,9.090909090909092,81.81818181818183,81.81818181818183,0.0,0.0,0.0,0.0,0.0,81.81818181818183,18.181818181818183,0.0,0.0,0.0,0,0,0,0
73,positive,1.6454545454545455,81.81818181818183,0.0,0.0,18.181818181818183,81.81818181818183,81.81818181818183,0.0,0.0,0.0,0.0,0.0,81.81818181818183,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
74,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,18.181818181818183,7.6923076923076925,7.6923076923076925,0.0,0,1,0,0
75,positive,0.5454545454545454,90.9090909090909,0.0,9.090909090909092,0.0,90.9090909090909,100.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,18.181818181818183,76.92307692307693,76.92307692307693,0.0,0,0,0,0
76,positive,2.3454545454545452,72.72727272727273,0.0,0.0,27.27272727272727,72.72727272727273,72.72727272727273,0.0,0.0,0.0,0.0,0.0,72.72727272727273,18.181818181818183,38.46153846153847,38.46153846153847,0.0,0,4,0,0
77,negative,7.854545454545455,9.090909090909092,9.090909090909092,18.181818181818183,63.63636363636363,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,15.384615384615385,15.384615384615385,0.0,0,0,1,0
