name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_6,sequencial_missing_9,sequencial_missing_12
51,negative,9.405882352941177,0.0,5.88235294117647,0.0,94.11764705882352,5.88235294117647,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
52,positive,2.1470588235294117,76.47058823529412,0.0,5.88235294117647,17.647058823529413,76.47058823529412,76.47058823529412,0.0,0.0,0.0,0.0,0.0,76.47058823529412,5.88235294117647,31.57894736842105,31.57894736842105,0.0,0,4,0,0,0,0,0
53,negative,9.105882352941178,5.88235294117647,5.88235294117647,0.0,88.23529411764706,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
54,positive,1.5235294117647058,82.35294117647058,0.0,5.88235294117647,11.76470588235294,82.35294117647058,82.35294117647058,0.0,0.0,0.0,0.0,0.0,82.35294117647058,5.88235294117647,68.42105263157895,68.42105263157895,0.0,1,1,0,0,0,1,0
55,negative,7.570588235294117,5.88235294117647,17.647058823529413,17.647058823529413,58.82352941176471,23.52941176470588,17.647058823529413,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,5.263157894736842,5.263157894736842,0.0,0,1,0,0,0,0,0
56,negative,6.741176470588236,29.411764705882355,0.0,5.88235294117647,64.70588235294117,29.411764705882355,29.411764705882355,0.0,0.0,0.0,0.0,5.88235294117647,23.52941176470588,0.0,10.526315789473683,10.526315789473683,0.0,0,0,1,0,0,0,0
57,negative,8.205882352941176,5.88235294117647,5.88235294117647,17.647058823529413,70.58823529411765,11.76470588235294,5.88235294117647,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,31.57894736842105,31.57894736842105,0.0,1,1,1,1,0,0,0
58,negative,7.352941176470588,23.52941176470588,5.88235294117647,5.88235294117647,64.70588235294117,29.411764705882355,29.411764705882355,0.0,0.0,0.0,0.0,5.88235294117647,11.76470588235294,0.0,21.052631578947366,21.052631578947366,0.0,0,2,1,0,0,0,0
59,negative,6.094117647058824,35.294117647058826,5.88235294117647,0.0,58.82352941176471,41.17647058823529,35.294117647058826,0.0,0.0,0.0,0.0,0.0,35.294117647058826,5.88235294117647,42.10526315789473,42.10526315789473,0.0,2,2,0,2,0,0,0
6,positive,4.452941176470588,52.94117647058824,0.0,5.88235294117647,41.17647058823529,52.94117647058824,52.94117647058824,0.0,0.0,0.0,0.0,0.0,52.94117647058824,5.88235294117647,10.526315789473683,10.526315789473683,0.0,0,1,0,0,0,0,0
60,negative,5.776470588235294,23.52941176470588,17.647058823529413,29.411764705882355,29.411764705882355,41.17647058823529,47.05882352941176,0.0,0.0,0.0,0.0,5.88235294117647,5.88235294117647,0.0,5.263157894736842,5.263157894736842,0.0,0,1,0,0,0,0,0
61,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,5.88235294117647,78.94736842105263,78.94736842105263,0.0,1,0,0,0,0,0,1
62,negative,8.7,11.76470588235294,0.0,0.0,88.23529411764706,11.76470588235294,11.76470588235294,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,15.789473684210526,15.789473684210526,0.0,0,1,1,0,0,0,0
