dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,xvalidation (k=10),chi2 (5),svm,0.7804878048780488,0.5263157894736842,0.5555555555555556,0.5,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),random_forest,0.8533333333333334,0.7013574660633485,0.7380952380952381,0.6681034482758621,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),knn,0.7933333333333333,0.5956521739130436,0.5684647302904564,0.6255707762557078,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),tree,0.8555555555555555,0.7136563876651983,0.7105263157894737,0.7168141592920354,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),naive_bayes,0.8044444444444444,0.678832116788321,0.5670731707317073,0.8454545454545455,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),logistic_regression,0.9077777777777778,0.7909319899244334,0.8177083333333334,0.7658536585365854,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),neural_network,0.8255555555555556,0.6735966735966735,0.6352941176470588,0.7168141592920354,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),gradient_boosting,0.8777777777777778,0.7441860465116279,0.7476635514018691,0.7407407407407407,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,"random (n=10, test=20%)",chi2 (5),svm,0.81,0.632258064516129,0.5951417004048583,0.6743119266055045,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),random_forest,0.7769230769230769,0.5671641791044775,0.5135135135135135,0.6333333333333333,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),naive_bayes,0.7692307692307693,0.6666666666666666,0.5,1.0,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),logistic_regression,0.6923076923076923,0.6,0.42857142857142855,1.0,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),neural_network,0.8384615384615385,0.7341772151898733,0.5918367346938775,0.9666666666666667,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),gradient_boosting,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.6666666666666666,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,holdout (33/67),chi2 (5),svm,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,,,,,
turma_1,1.0,xvalidation (k=10),chi2 (10),random_forest,0.8585365853658536,0.6914893617021277,0.7386363636363636,0.65,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),knn,0.8536585365853658,0.6666666666666665,0.75,0.6,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),tree,0.8780487804878049,0.7368421052631577,0.7777777777777778,0.7,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),naive_bayes,0.8048780487804879,0.6666666666666666,0.5714285714285714,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),logistic_regression,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),neural_network,0.7634146341463415,0.5025641025641027,0.5157894736842106,0.49,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),gradient_boosting,0.8560975609756097,0.6810810810810811,0.7411764705882353,0.63,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,xvalidation (k=10),chi2 (10),svm,0.7073170731707317,0.33333333333333326,0.375,0.3,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),random_forest,0.8488888888888889,0.6923076923076923,0.7355769230769231,0.6538461538461539,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),knn,0.8533333333333334,0.6886792452830189,0.7448979591836735,0.6403508771929824,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),tree,0.8644444444444445,0.7024390243902439,0.7272727272727273,0.6792452830188679,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),naive_bayes,0.7855555555555556,0.6445672191528545,0.546875,0.7847533632286996,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),logistic_regression,0.8577777777777778,0.7130044843049328,0.6652719665271967,0.7681159420289855,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),neural_network,0.8055555555555556,0.6346555323590813,0.6178861788617886,0.6523605150214592,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),gradient_boosting,0.8588888888888889,0.702576112412178,0.7352941176470589,0.672645739910314,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,"random (n=10, test=20%)",chi2 (10),svm,0.7766666666666666,0.47792207792207786,0.5287356321839081,0.43601895734597157,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_5_7_5,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,partial_presence,activities_incomplete
turma_1,1.0,holdout (33/67),chi2 (10),random_forest,0.7923076923076923,0.5970149253731343,0.5405405405405406,0.6666666666666666,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_0_2_5
turma_1,1.0,holdout (33/67),chi2 (10),knn,0.7692307692307693,0.5714285714285715,0.5,0.6666666666666666,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_0_2_5
turma_1,1.0,holdout (33/67),chi2 (10),tree,0.8461538461538461,0.5,1.0,0.3333333333333333,grades_average,grades_below_mean,grades_between_5_7_5,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,grades_between_0_2_5
